Articles (articles_PADI_relevant.csv)	Topic 0 : million / milliard / franc / entreprise / affaire / service / marché / chiffre / sénégal / cfa	Topic 1 : covid / 19 / cas / pandémie / santé / pays / contre / Sénégal / sanitaire / crise	Topic 2 : femme / pouvoir / homme / journée / vie / fille / famille / jour / bien / mars	Topic 3 : Afrique / développement / eau / pays / africain / Sénégal / mondial / international / durable / agriculture	Topic 4 : sénégal / bon / équipe / voir / bien / beaucoup / gagner / vraiment / yer / match	Topic 5 : Sénégal / sénégalais / président / Diop / Ndiaye / dakar / Senghor / Mamadou / Afrique / Dakar	Topic 6 : enseignant / éducation / élève / école / accord / gouvernement / syndicat / problème / cours / année	Topic 7 : loi / droit / national / assemblée / député / pouvoir / maire / article / Sénégal / code	Topic 8 : élection / électoral / candidat / pouvoir / politique / parti / devoir / vote / opposition / justice	Topic 9 : lion / finale / but / Sénégal / match / minute / egypte / face / février / victoire	Topic 10 : président / politique / pouvoir / Wade / sénégalais / Macky / Abdoulaye / sall / etat / parti	Topic 11 : pays / africain / pouvoir / économique / produit / économie / président / Afrique / alimentaire / continent	Topic 12 : sénégal / ramener / beaucoup / monde / new / ligne / petit / bon / mener / voir	Topic 13 : équipe / joueur / match / Sénégal / coupe / jouer / pouvoir / club / national / lion	Topic 14 : pêche / ressource / riz / acteur / secteur / local / pétrole / Sénégal / national / gaz	Topic 15 : père / jour / grand / venir / sénégalais / famille / fils / village / vivre / terre	Topic 16 : eau / zone / population / région / commune / village / terre / pouvoir / rural / service	Topic 17 : pouvoir / aujourd / sénégal / voir / état / devoir / vouloir / savoir / bien / beaucoup	Topic 18 : Sénégal / milliard / etat / sénégalais / gouvernement / Bénin / ministre / sénégal / CFA / public	Topic 19 : agricole / producteur / production / bénin / gouvernement / tonne / agriculture / national / produit / ministre	Topic 20 : ministre / président / république / etat / chef / national / conseil / Macky / communication / gouvernement	Topic 21 : pouvoir / information / réseau / donnée / social / Sénégal / devoir / sénégalais / communication / numérique	Topic 22 : projet / formation / national / développement / programme / secteur / travail / centre / financement / cadre	Topic 23 : Wade / etat / sénégalais / chef / prendre / pouvoir / guerre / Ukraine / pays / président	Topic 24 : prix / fcfa / produit / hausse / marché / milliard / année / denrée / mois / franc	Topic 25 : pays / militaire / russe / Ukraine / Mali / président / force / armée / Russie / sanction	Topic 26 : affaire / justice / presse / dossier / dernier / mort / victime / pouvoir / contre / enquête	Topic 27 : santé / enfant / alimentaire / hôpital / maladie / sanitaire / système / médecin / civil / médical	Topic 28 : football / national / sport / sénégal / fédération / sénégalais / président / stade / coupe / sportif	Topic 29 : beaucoup / pouvoir / artiste / voir / culture / sénégalais / musique / venir / bien / vraiment	Topic 30 : sénégal / état / heure / édition / pouvoir / commune / sénégalais / jour / autorité / président	Topic 31 : Cheikh / religieux / musulman / professeur / Sénégal / communauté / fête / université / monde / science	Topic 32 : pouvoir / politique / pays / devoir / sénégalais / Sénégal / bien / homme / monde / peuple	Topic 33 : coalition / liste / élection / Yewwi / sonko / leader / politique / opposition / Askan / maire	Topic 34 : jeune / emploi / pouvoir / pays / entreprise / programme / local / jeunesse / devoir / politique
article 1462	3e-05	0.05639	3e-05	3e-05	0.028	3e-05	3e-05	0.01884	3e-05	3e-05	3e-05	3e-05	0.0413	0.0243	3e-05	3e-05	0.12728	0.16166	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	0.01647	3e-05	3e-05	3e-05	0.51852	0.0064	3e-05	3e-05	3e-05
article 1463	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.06268	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.11886	0.00025	0.00025	0.00025	0.00025	0.00025	0.29489	0.00025	0.00025	0.00025	0.00025	0.51573	0.00025	0.00025
article 1464	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.08698	0.00025	0.00025	0.00025	0.90468	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025
article 1465	0.00032	0.00032	0.00032	0.00032	0.00032	0.23422	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.68739	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.03397	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.03435	0.00032	0.00032	0.00032
article 1466	0.00016	0.0574	0.01026	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.15607	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.05197	0.00016	0.06626	0.00016	0.00016	0.00016	0.00016	0.65349	0.00016	0.00016
article 1467	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.02725	0.00026	0.10682	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.07152	0.00026	0.18111	0.00026	0.23931	0.00026	0.05169	0.00026	0.00026	0.24779	0.00026	0.00026	0.00026	0.00026	0.00026	0.06735	0.00026
article 1468	0.00037	0.10395	0.00037	0.00037	0.00037	0.09324	0.00037	0.06921	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.46084	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.26177	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037
article 1469	0.00031	0.26683	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.14467	0.01386	0.00031	0.20045	0.00031	0.00031	0.00031	0.21971	0.00031	0.14557	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031
article 1470	0.00018	0.04867	0.02808	0.00018	0.00018	0.0667	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.33683	0.00018	0.00018	0.00018	0.00018	0.21362	0.00018	0.00018	0.15908	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00658	0.00018	0.00018	0.13564
article 1471	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.05911	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.75001	0.00014	0.00014	0.00014	0.13715	0.00014	0.00014	0.0495	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014
article 1472	0.00032	0.14251	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.05777	0.00032	0.00032	0.00032	0.00032	0.36633	0.24306	0.00032	0.00032	0.00032	0.05086	0.13004	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032
article 1473	9e-05	0.20928	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	0.06877	9e-05	9e-05	9e-05	9e-05	9e-05	0.02277	9e-05	0.04453	9e-05	9e-05	9e-05	0.00499	9e-05	0.26504	9e-05	9e-05	9e-05	0.07677	0.30542	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05
article 1474	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.84398	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.14796	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024
article 1475	0.05811	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.48977	8e-05	0.23542	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.01609	8e-05	8e-05	8e-05	8e-05	8e-05	0.04354	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.15489	8e-05	8e-05
article 1476	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.06635	0.50605	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.03736	0.00017	0.00017	0.38509
article 1477	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.42447	0.08635	8e-05	0.35773	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.04242	8e-05	8e-05	0.08658	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05
article 1478	0.00037	0.00037	0.00037	0.00037	0.00037	0.26135	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.72657	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037
article 1479	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.21251	0.00011	0.00011	0.7156	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.06821	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011
article 1480	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.47603	0.00034	0.36909	0.00034	0.00034	0.00034	0.06914	0.00034	0.02151	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.05403
article 1481	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.91354	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.07968	8e-05	8e-05	8e-05	0.00428	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05
article 1482	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.15504	0.00022	0.00022	0.00022	0.21466	0.00022	0.00022	0.15789	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.21779	0.00022	0.23319	0.00022	0.00022	0.00022	0.01516	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022
article 1483	0.00034	0.00034	0.00034	0.00034	0.00034	0.35248	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.04499	0.00034	0.00034	0.00034	0.17653	0.00034	0.1493	0.00034	0.26649	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034
article 1484	0.00023	0.00023	0.00023	0.00023	0.00023	0.11717	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.67513	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.09078	0.00023	0.00023	0.00023	0.00023	0.10988
article 1485	3e-05	3e-05	3e-05	0.01791	3e-05	0.00924	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	0.5508	0.26997	3e-05	3e-05	0.15104	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05
article 1486	0.00024	0.00024	0.00024	0.00024	0.00024	0.04753	0.00024	0.00024	0.00024	0.00024	0.00024	0.32462	0.00024	0.00024	0.16871	0.00024	0.00024	0.00024	0.32828	0.00024	0.00024	0.00024	0.00024	0.00024	0.12353	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024
article 1487	0.00017	0.14669	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.01397	0.00017	0.21571	0.00017	0.00017	0.00017	0.00017	0.00017	0.34029	0.00017	0.08364	0.00017	0.19481	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017
article 1488	0.00013	0.36387	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.09519	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.05918	0.00013	0.22929	0.00013	0.00013	0.00013	0.00013	0.24845	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013
article 1489	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.09679	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.00035	0.89157	0.00035
article 1490	0.00022	0.00022	0.16063	0.16562	0.00022	0.00022	0.05992	0.00022	0.15762	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.14546	0.00022	0.00022	0.08732	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.21732	0.00022	0.00022
article 1491	0.05608	5e-05	5e-05	0.02312	5e-05	5e-05	0.1035	5e-05	5e-05	5e-05	5e-05	5e-05	0.69767	0.01506	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.02383	0.03219	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.00582	0.04135
article 1492	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.07612	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.08389	0.37745	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.04023	0.06128	0.00016	0.00016	0.03173	0.12291	0.00016	0.00016	0.20199	0.00016	0.00016
article 1493	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.13966	0.00057	0.00057	0.00057	0.00057	0.31385	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.26916	0.00057	0.00057	0.25961	0.00057	0.00057	0.00057	0.00057	0.00057
article 1494	0.00024	0.00024	0.00024	0.00024	0.00024	0.04562	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.07824	0.00024	0.00024	0.00024	0.00024	0.00024	0.06386	0.144	0.00024	0.09645	0.00024	0.00024	0.00024	0.00024	0.00024	0.56481	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024
article 1495	8e-05	0.01372	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.64288	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.34071	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05
article 1496	0.00022	0.00022	0.05917	0.00022	0.00022	0.25973	0.00022	0.00022	0.00022	0.01965	0.00022	0.00022	0.00022	0.00022	0.00022	0.01898	0.41071	0.00022	0.00022	0.05922	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.16643	0.00022
article 1497	0.00016	0.00016	0.00016	0.18772	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.06617	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.74106	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016
article 1498	6e-05	0.10191	6e-05	6e-05	6e-05	0.09504	0.04145	6e-05	6e-05	6e-05	6e-05	0.27603	6e-05	6e-05	0.07146	6e-05	6e-05	6e-05	0.043	6e-05	0.18144	6e-05	6e-05	6e-05	0.10526	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	0.02911	6e-05	6e-05	0.05369
article 1499	0.02799	6e-05	6e-05	6e-05	6e-05	0.02684	0.02965	6e-05	6e-05	6e-05	6e-05	6e-05	0.80044	6e-05	0.01516	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	0.04777	6e-05	6e-05	6e-05	0.0506	6e-05	6e-05	6e-05	6e-05
article 1500	6e-05	6e-05	6e-05	0.14988	6e-05	6e-05	6e-05	0.04739	0.06327	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	0.01288	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	0.04191	0.03858	0.30052	0.09996	0.16079	6e-05	6e-05	6e-05	6e-05	0.08334	6e-05	6e-05
article 1501	5e-05	5e-05	5e-05	5e-05	0.06738	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.02654	0.81945	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.01144	5e-05	5e-05	0.0109	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.06297	5e-05
article 1502	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.02768	0.00022	0.00022	0.00022	0.00022	0.00022	0.34558	0.05587	0.00022	0.00022	0.00022	0.00022	0.00022	0.11139	0.42569	0.00022	0.02746	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022
article 1503	0.00029	0.00029	0.00029	0.00029	0.00029	0.49492	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.11583	0.00029	0.00029	0.07169	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.30853	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029
article 1504	0.04206	2e-05	2e-05	2e-05	2e-05	2e-05	0.05917	2e-05	0.07635	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	0.22903	2e-05	2e-05	2e-05	0.02579	2e-05	2e-05	2e-05	2e-05	2e-05	0.05507	0.0717	2e-05	0.44023	2e-05	2e-05	2e-05	2e-05
article 1505	0.00019	0.00019	0.07332	0.00019	0.00019	0.01816	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.2315	0.00019	0.11487	0.00019	0.00019	0.13124	0.00019	0.06861	0.09963	0.00019	0.00019	0.00019	0.00019	0.25763	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019
article 1506	3e-05	3e-05	3e-05	0.03828	3e-05	3e-05	3e-05	0.00267	0.06687	3e-05	0.0827	3e-05	0.38838	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	0.0088	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	0.06386	3e-05	3e-05	3e-05	0.12038	0.22717	3e-05
article 1507	4e-05	4e-05	4e-05	4e-05	0.30823	4e-05	4e-05	4e-05	0.02797	4e-05	0.2129	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.19086	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.09575	4e-05	4e-05	4e-05	0.06542	4e-05	0.09781
article 1508	0.00024	0.00024	0.00024	0.00024	0.00024	0.03137	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.26745	0.00024	0.00024	0.08657	0.04777	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.51815	0.00024	0.00024	0.00024	0.00024	0.04174	0.00024	0.00024	0.00024
article 1509	0.0001	0.0001	0.0001	0.20954	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.02413	0.0001	0.0001	0.0001	0.0001	0.0001	0.14385	0.26569	0.0376	0.03065	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.01292	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.27284
article 1510	0.00016	0.00016	0.00016	0.00016	0.00016	0.74993	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.24474	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016
article 1511	0.0004	0.98632	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004
article 1512	0.00017	0.09099	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.05185	0.00017	0.00017	0.00017	0.00017	0.13876	0.00017	0.13076	0.00017	0.00017	0.00017	0.00017	0.00017	0.03658	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.13689	0.26715	0.00017	0.00017	0.14254	0.00017	0.00017
article 1513	0.07886	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.32778	0.00025	0.00025	0.00025	0.00025	0.16211	0.00025	0.00025	0.13634	0.00025	0.12417	0.04438	0.00025	0.11941	0.00025	0.00025	0.00025	0.00025	0.00025
article 1514	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.03056	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.04284	0.00036	0.00036	0.00036	0.00036	0.83108	0.00036	0.00036	0.00036	0.00036	0.0843	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036
article 1515	0.00019	0.00019	0.00019	0.64156	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.07212	0.00019	0.00019	0.00019	0.00019	0.00019	0.28034	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019
article 1516	0.00014	0.00014	0.00014	0.00014	0.00014	0.04854	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.04268	0.00014	0.00014	0.00014	0.00014	0.18635	0.00014	0.1098	0.00014	0.08483	0.00014	0.02785	0.00014	0.28457	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.21153	0.00014
article 1517	0.00015	0.00015	0.12866	0.00015	0.00015	0.21446	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.04787	0.00015	0.00015	0.00015	0.00015	0.00015	0.17988	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.19637	0.05237	0.07778	0.00015	0.00015	0.09868
article 1518	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.09	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.55744	0.0628	0.0002	0.0002	0.0002	0.0002	0.28369	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002
article 1519	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.12499	0.00033	0.00033	0.00033	0.44028	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.11954	0.00033	0.06179	0.03061	0.00033	0.00033	0.00033	0.00033	0.21327	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033
article 1520	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.47256	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.31504	0.00044	0.00044	0.00044	0.00044	0.19834	0.00044	0.00044	0.00044	0.00044	0.00044
article 1521	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.0836	0.00014	0.00014	0.00014	0.09107	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.04033	0.00014	0.00014	0.00014	0.63299	0.14787	0.00014
article 1522	0.00017	0.06123	0.00017	0.33929	0.00017	0.00017	0.00017	0.00017	0.06184	0.00017	0.00017	0.00017	0.00017	0.00017	0.42586	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.02969	0.00017	0.00017	0.00017	0.00017	0.01359	0.00017	0.00017	0.00017	0.00017	0.06388	0.00017	0.00017
article 1523	5e-05	5e-05	0.27665	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.01517	5e-05	0.02558	0.05445	5e-05	0.01723	5e-05	5e-05	0.05509	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.01064	0.10873	0.09366	5e-05	5e-05	5e-05	0.34144	5e-05	5e-05	5e-05	5e-05
article 1524	7e-05	0.02734	7e-05	0.05542	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	0.05825	7e-05	7e-05	7e-05	7e-05	7e-05	0.23956	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	0.09004	7e-05	7e-05	7e-05	7e-05	0.52741
article 1525	9e-05	9e-05	9e-05	0.0999	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	0.04622	9e-05	9e-05	0.67445	9e-05	9e-05	9e-05	0.03025	9e-05	9e-05	9e-05	9e-05	9e-05	0.06414	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	0.08232	9e-05	9e-05
article 1526	0.00015	0.04174	0.00015	0.11618	0.00015	0.00015	0.00015	0.26109	0.21809	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.10291	0.02923	0.02514	0.00015	0.2017	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015
article 1527	0.0003	0.0003	0.0003	0.0003	0.0003	0.24147	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.53223	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.21677	0.0003
article 1528	0.00858	4e-05	4e-05	4e-05	0.37619	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.04551	0.07491	0.00526	4e-05	4e-05	0.17851	4e-05	4e-05	4e-05	4e-05	0.12021	4e-05	4e-05	4e-05	4e-05	4e-05	0.18965	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05
article 1529	0.14625	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.44142	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.09444	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.3056	0.0004	0.0004	0.0004	0.0004	0.0004
article 1530	0.00011	0.15377	0.00011	0.00011	0.00011	0.00011	0.05876	0.00011	0.05433	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.11503	0.00011	0.33102	0.05538	0.21265	0.00011	0.00011	0.00011	0.00011	0.0161	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011
