CENTRE;HAUTS-BASSINS;SAHEL
;Badougouya;Seno sofare
;Gouapegue;Solsala
;Keleya;Tchelel
;Mou;Terbiel
;Nianaba;Tiabia
;Nianware;Tialel
;Pouanya;Tialol Tiope
;Semine;Tibilindi
;Tapoko;Tiguibamloye
;Toussiana;Tiombiel
;Wempéa I;Windé Daké
;Wempéa II;Windé Djibairou
;Yorokofesso;Windé Gnebe
;Yoya;Baaga
;Banzon;Bafelé
;Doria;Balandagou
;sinzon;Bambofa
;Kounseni;Bargare
;Nablo-Diassa;Beguentigui
;Nianwere;Bellare Djamalel
;Floxoum;Bellare Maga
;Dian;Beybaye
;Diassaga;Billy
;Dissanga;Binguel
;Djigouéra;Boudounguel
;Gossamandara;Bouloye
;Kaka;Bouloye Thiouly
;Kassanga;Boundou Woundoudou
;Kleni;Boureye
;Kolokaka;Boureye longondjou
;Kuini;Dangade
;Serekeni;Dani
;Soubakagnedou;Dantchadi
;Bakaribougou;Debere Talata
;Bama;Demni
;Kagnabougou;Djigo
;Kangala;Fetombaga
;Kotoura;Fetombale
;Lanfiera;Foulgou
;Mahon;Gassel Biankou
;Niampedougou;Gotogou
;Ouolonkoto;Goudoubo
;Sayaga;Guidé
;Sikouraba;Hogga
;N-dana;Hoggo Samboel
;Dionkelé;Kabeika
;Doro;Kampiti
;Fofara;Katchari
;Kara-Massasso;Katchirga
;Kayan;Kiryollo Ouro Arsaba
;Kouroumani;Kodiolaye
;N'dosso;Koria
;N'gorolani;Kouri
;Niena;Lerbou
;Oueré;Lere Ibaye
;Seye;Malbo
;Sien;Mallere
;Sokourani;Mamassiol
;Teoule;M'bamga
;Tigan;Nakou
;Zangassoni;N'diolloa
;Banakoro;Nelba
;Chokoro;Nobiol
;Dialakoro;Oulo
;Dobougou;Ourfou
;Fama;Ouro baagabe
;Gnadia;Ouro Longa
;Imatoro;Ouro torobe
;Karangasso;Padala
;Kartasso;pempendiangou
;Kokouna;Peoukoye
;Koloko;Petakolle
;Nafanasso;Sambonaye
;Natindougou;Selbo
;Nigolo;Soumkoum
;Sifarasso;Sourtatibe Touka
;Sintasso;Taaka
;Sokoroni;Thioumbonga
;Songolo;Tigou
;Zanibougou;Tobidioga
;Zitonosso;Tohounguel
;Banfoulagouè;Touka Bayel
;Dan;Touka boundou
;Guena;Touka Diomga
;Kourinion;Touka Korno
;Mina;Touka Ouro Nala
;N'bie;Touka sourtatiba
;Pindie-Badara;Touka Welde
;Sian;Touka Wendou
;Sidi;Welde Katchirga
;Sipigui;Yacouta
;Toussiamasso;Yebelba
;Toussian-Bandougou;Yirga
;Djigouera;Belgou
;Doumbourla;Ekeou
;Fara;Falangountou
;Faranga;Fetobarabe
;Foulasso;Gomo
;Gnignana;Goulgountou
;Guiguima;Gourara
;Kabala;Haïni
;Katafona;Kargono
;Kokoro;Sella
;Kourouma;Wiboria
;Sabou;Zargaloutan
;Sadina;Zeydrabe
;Sougouma;Bangataka
;Tchogo;Bangataka lere
;Zamakologo;Bouloye siguidi
;Kaifona;Boundougnoudji
;Kalarla;Demniol
;Katana;Diobbou
;Morolaba;Gorgadji
;N'gorguerla;Gorouol galole
;Nangorla;Guide
;Niamberla;Lelly
;Siguinasso;Lere
;Sindorla;Oulfou Alfa
;Temetemesso;Peteguerse
;Tina;Tadjo
;Zanfagora;Tiekaledji
;Zanfara;Tonga
;Zankina;Aligaga 1
;Domberla;Aligaga II
;Bangasso;Bandiedaga
;Dain-Maïssara;Damdegou
;Deina;Niagassi
;Dingasso 1;Sampelga
;Dingasso 2;Wabooti II
;Fadona;Waboti I
;Famberla;Woulmassoutou
;Kagnagara;Badourlébé
;Kanama;Bambary
;Karfara;Bandiedaga Gourmantc
;Kodona;Bandiedaga Lerel
;Koko;Banguel Daou
;Korkina;Banguel Daou Didiole
;N'dorola;Bellaré
;Sefina I;Foufou
;Sefina II;Hakoundel
;Seguedougou;Inagabou
;Sikorla;Keindabé
;Sinani;Kourakou
;Siri;Lamana
;Temekina;Ouro ahidjo
;Tiangouera;Ouro daka
;Torokoto;Ouro foni
;Dieri;Oussaltan Banguel Dao
;Diossogo;Oussaltan Dongobé
